日期	时间	磁场	温度
2018/6/3	0:00:48	-0.0002400	29.1
2018/6/3	0:00:53	-0.0002420	29.1
2018/6/3	0:00:58	-0.0002420	29.1
2018/6/3	0:01:03	-0.0002420	29.0
2018/6/3	0:01:08	-0.0002420	29.1
2018/6/3	0:01:13	-0.0002420	29.1
2018/6/3	0:01:18	-0.0002400	29.1
2018/6/3	0:01:23	-0.0002420	29.1
2018/6/3	0:01:28	-0.0002410	29.1
2018/6/3	0:01:33	-0.0002420	29.1
2018/6/3	0:01:38	-0.0002400	29.1
2018/6/3	0:01:43	-0.0002390	29.1
2018/6/3	0:01:48	-0.0002370	29.0
2018/6/3	0:01:53	-0.0002370	29.1
2018/6/3	0:01:58	-0.0002400	29.1
2018/6/3	0:02:03	-0.0002400	29.1
2018/6/3	0:02:08	-0.0002400	29.1
2018/6/3	0:02:13	-0.0002410	29.1
2018/6/3	0:02:18	-0.0002430	29.1
2018/6/3	0:02:23	-0.0002410	29.1
2018/6/3	0:02:28	-0.0002430	29.0
2018/6/3	0:02:33	-0.0002420	29.1
2018/6/3	0:02:38	-0.0002400	29.1
2018/6/3	0:02:43	-0.0002400	29.1
2018/6/3	0:02:48	-0.0002410	29.1
2018/6/3	0:02:53	-0.0002420	29.1
2018/6/3	0:02:58	-0.0002400	29.1
2018/6/3	0:03:03	-0.0002410	29.1
2018/6/3	0:03:08	-0.0002420	29.1
2018/6/3	0:03:13	-0.0002410	29.0
2018/6/3	0:03:18	-0.0002380	29.1
2018/6/3	0:03:23	-0.0002420	29.1
2018/6/3	0:03:28	-0.0002410	29.1
2018/6/3	0:03:33	-0.0002420	29.1
2018/6/3	0:03:38	-0.0002420	29.1
2018/6/3	0:03:43	-0.0002410	29.1
2018/6/3	0:03:48	-0.0002410	29.0
2018/6/3	0:03:53	-0.0002410	29.1
2018/6/3	0:03:58	-0.0002430	29.1
2018/6/3	0:04:03	-0.0002430	29.1
2018/6/3	0:04:08	-0.0002400	29.1
2018/6/3	0:04:13	-0.0002430	29.1
2018/6/3	0:04:18	-0.0002430	29.1
2018/6/3	0:04:23	-0.0002410	29.1
2018/6/3	0:04:28	-0.0002400	29.0
2018/6/3	0:04:33	-0.0002410	29.1
2018/6/3	0:04:38	-0.0002410	29.1
2018/6/3	0:04:43	-0.0002400	29.1
2018/6/3	0:04:48	-0.0002420	29.1
2018/6/3	0:04:53	-0.0002420	29.1
2018/6/3	0:04:58	-0.0002410	29.0
2018/6/3	0:05:03	-0.0002410	29.1
2018/6/3	0:05:08	-0.0002390	29.1
2018/6/3	0:05:13	-0.0002400	29.1
2018/6/3	0:05:18	-0.0002410	29.0
2018/6/3	0:05:23	-0.0002400	29.0
2018/6/3	0:05:28	-0.0002430	29.0
2018/6/3	0:05:33	-0.0002410	29.0
2018/6/3	0:05:38	-0.0002460	29.1
2018/6/3	0:05:43	-0.0002460	29.1
2018/6/3	0:05:48	-0.0002460	29.1
2018/6/3	0:05:53	-0.0002460	29.1
2018/6/3	0:05:58	-0.0002450	29.1
2018/6/3	0:06:03	-0.0002430	29.1
2018/6/3	0:06:08	-0.0002450	29.1
2018/6/3	0:06:13	-0.0002440	29.1
2018/6/3	0:06:18	-0.0002450	29.1
2018/6/3	0:06:23	-0.0002440	29.1
2018/6/3	0:06:28	-0.0002410	29.0
2018/6/3	0:06:33	-0.0002430	29.1
2018/6/3	0:06:38	-0.0002440	29.1
2018/6/3	0:06:43	-0.0002440	29.0
2018/6/3	0:06:48	-0.0002410	29.0
2018/6/3	0:06:53	-0.0002400	29.1
2018/6/3	0:06:58	-0.0002440	29.1
2018/6/3	0:07:03	-0.0002460	29.1
2018/6/3	0:07:08	-0.0002430	29.1
2018/6/3	0:07:13	-0.0002420	29.0
2018/6/3	0:07:18	-0.0002420	29.0
2018/6/3	0:07:23	-0.0002450	29.0
2018/6/3	0:07:28	-0.0002430	29.1
